phylum,class,genus,species,form,sample,image_name,image_info,image_url
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,Crypto_wtmt_annot.jpg,Cryptosporidium spp. oocysts (pink arrows) in wet mount. A budding yeast (brown arrow) is in the same field.,https://www.cdc.gov//dpdx/cryptosporidiosis/images/1/Crypto_wtmt_annot.jpg
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,DPDxCrypto_oo_DIC.jpg,"Cryptosporidium parvum oocysts in wet mount, under differential interference contrast (DIC) microscopy. The oocysts are rounded and measure 4.2 µm - 5.4 µm in diameter. Sporozoites are visible inside the oocysts, indicating that sporulation has occurred.",https://www.cdc.gov//dpdx/cryptosporidiosis/images/1/DPDxCrypto_oo_DIC.jpg
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,Cparvum_trichrome1_BAM.jpg,"Cryptosporidium sp. oocysts stained with trichrome. Oocysts may be detected, but should not be confirmed by this method. Trichrome staining is inadequate for a definite diagnosis because oocysts will appear unstained. Here the Cryptosporidium oocysts are represented by red arrows; the blue arrow represents yeast.",https://www.cdc.gov//dpdx/cryptosporidiosis/images/2/Cparvum_trichrome1_BAM.jpg
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,Cparvum_trichrome2_BAM.jpg,"Cryptosporidium sp. oocyst stained with trichrome. Oocysts may be detected, but should not be confirmed by this method. Trichrome staining is inadequate for a definite diagnosis because oocysts will appear unstained. Here the Cryptosporidium oocyst is represented by a red arrow; the blue arrows represent yeast.",https://www.cdc.gov//dpdx/cryptosporidiosis/images/2/Cparvum_trichrome2_BAM.jpg
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,Crypto_oocyst4.jpg,"Cryptosporidium parvum oocysts stained with modified acid-fast. Against a blue-green background, the oocysts stand out in a bright red stain. Sporozoites are visible inside the two oocysts to the right in this image.",https://www.cdc.gov//dpdx/cryptosporidiosis/images/3/Crypto_oocyst4.jpg
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,Crypto_acidfast3_web.jpg,"Cryptosporidium parvum oocysts stained with modified acid-fast. Against a blue-green background, the oocysts stand out in a bright red stain.",https://www.cdc.gov//dpdx/cryptosporidiosis/images/3/Crypto_acidfast3_web.jpg
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,Crypto_acidfast_web.jpg,Cryptosporidium sp. oocysts stained with modified acid-fast.,https://www.cdc.gov//dpdx/cryptosporidiosis/images/3/Crypto_acidfast_web.jpg
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,Crypto_acidfast2_web.jpg,Cryptosporidium sp. oocyst stained with modified acid-fast.,https://www.cdc.gov//dpdx/cryptosporidiosis/images/3/Crypto_acidfast2_web.jpg
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,Crypto_acidfast1_100x_annot.jpg,Cryptosporidium sp. oocysts (red arrows) that did not take up the modified acid-fast stain. The slide was counterstained with methylene blue. Note that yeast cells did stain red (yellow arrows).,https://www.cdc.gov//dpdx/cryptosporidiosis/images/4/Crypto_acidfast1_100x_annot.jpg
Apicomplexa,	Conoidasida,Cryptosporidium,Cryptosporidium sp.,Oocysts,Fecal,Crypto_acidfast2_100x_annot.jpg,Unstained Cryptosporidium sp. oocysts (black arrows) on a slide stained with modified acid-fast. The slide was counterstained with malachite green.,https://www.cdc.gov//dpdx/cryptosporidiosis/images/4/Crypto_acidfast2_100x_annot.jpg
